pair_no	gene in Halo vector	gene in Luc vector	interaction	processed plate
X_000	SUPV3L1	U2AF2	random_pairs_non_screen_hits	plate 0
X_000	SUPV3L1	ZC3H8	random_pairs_non_screen_hits	plate 0
X_000	TAF15	DDX42	random_pairs_non_screen_hits	plate 0
X_000	TAF15	ILF3	random_pairs_non_screen_hits	plate 0
X_000	TAF15	PCBP1	random_pairs_non_screen_hits	plate 0
X_000	TAF15	STAU2	random_pairs_non_screen_hits	plate 0
X_000	TAF15	U2AF2	random_pairs_non_screen_hits	plate 0
X_000	TAF15	ZC3H8	random_pairs_non_screen_hits	plate 0
X_000	TARDBP	HNRNPA1	random_pairs_non_screen_hits	plate 0
X_000	TARDBP	IGF2BP2	random_pairs_non_screen_hits	plate 0
X_000	TARDBP	SF3B4	random_pairs_non_screen_hits	plate 0
X_000	TARDBP	SFPQ	random_pairs_non_screen_hits	plate 0
X_000	TARDBP	STAU2	random_pairs_non_screen_hits	plate 0
X_000	TARDBP	U2AF2	random_pairs_non_screen_hits	plate 0
X_000	TARDBP	WDR3	random_pairs_non_screen_hits	plate 0
X_000	TARDBP	ZC3H8	random_pairs_non_screen_hits	plate 0
X_000	TIA1	CSTF2T	random_pairs_non_screen_hits	plate 0
X_000	TIA1	LARP4	random_pairs_non_screen_hits	plate 0
X_000	TIA1	PCBP2	random_pairs_non_screen_hits	plate 0
X_000	TIA1	SF3B4	random_pairs_non_screen_hits	plate 0
X_000	TIA1	SRSF1	random_pairs_non_screen_hits	plate 0
X_000	TRA2A	FXR1	random_pairs_non_screen_hits	plate 0
X_000	TRA2A	PCBP1	random_pairs_non_screen_hits	plate 0
X_000	TRA2A	SFPQ	random_pairs_non_screen_hits	plate 0
X_000	TRA2A	U2AF2	random_pairs_non_screen_hits	plate 0
X_000	U2AF1	CPSF6	random_pairs_non_screen_hits	plate 0
X_000	U2AF1	DDX21	random_pairs_non_screen_hits	plate 0
X_000	U2AF1	GTF2F1	random_pairs_non_screen_hits	plate 0
X_000	U2AF1	RBM22	random_pairs_non_screen_hits	plate 0
X_000	U2AF2	FKBP4	random_pairs_non_screen_hits	plate 0
X_000	U2AF2	NIP7	random_pairs_non_screen_hits	plate 0
X_000	U2AF2	PPIL4	random_pairs_non_screen_hits	plate 0
X_000	U2AF2	RBM5	random_pairs_non_screen_hits	plate 0
X_000	U2AF2	SUPV3L1	random_pairs_non_screen_hits	plate 0
X_000	U2AF2	TAF15	random_pairs_non_screen_hits	plate 0
X_000	U2AF2	TARDBP	random_pairs_non_screen_hits	plate 0
X_000	U2AF2	TRA2A	random_pairs_non_screen_hits	plate 0
X_000	WDR3	DDX21	random_pairs_non_screen_hits	plate 0
X_000	WDR3	EWSR1	random_pairs_non_screen_hits	plate 0
X_000	WDR3	NKRF	random_pairs_non_screen_hits	plate 0
X_000	WDR3	STAU2	random_pairs_non_screen_hits	plate 0
X_000	WDR3	TARDBP	random_pairs_non_screen_hits	plate 0
X_000	YWHAG	CSTF2T	random_pairs_non_screen_hits	plate 0
X_000	ZC3H8	SRSF9	random_pairs_non_screen_hits	plate 0
X_000	ZC3H8	SUPV3L1	random_pairs_non_screen_hits	plate 0
X_000	ZC3H8	TAF15	random_pairs_non_screen_hits	plate 0
X_000	ZC3H8	TARDBP	random_pairs_non_screen_hits	plate 0
